Sample,Site,long,lat,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Li,Sc,V,Cr,Co,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Cd,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204
NLTD 39-5 ,Fiji Triple Junction ,-16.94,173.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703108,0.51303,18.2272,15.5058,38.0823
NLTD 40-1 ,Fiji Triple Junction ,-17.31,173.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703728,0.512855,18.6846,15.5861,38.7977
NLTD 41-8 ,Fiji Triple Junction ,-16.95,173.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703648,0.512874,18.6273,15.5738,38.7
NLTD 42-1 ,Fiji Triple Junction ,-16.98,173.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703561,0.512925,18.5829,15.5666,38.6258
NLTD 43-1 ,Fiji Triple Junction ,-16.98,173.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702883,0.51314,18.0296,15.4661,37.773
NLTD 49-1 ,Fiji Triple Junction ,-16.95,173.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702914,0.51314,18.0106,15.4728,37.7733
NLTD 50-1 ,Fiji Triple Junction ,-16.96,173.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702973,,18.0405,15.4798,37.8063
NLTD 50-2 ,Fiji Triple Junction ,-16.96,173.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70349,0.512983,18.481,15.5477,38.4782
NLTD 50-3 ,Fiji Triple Junction ,-16.96,173.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70348,0.512959,18.4829,15.548,38.4771
NLTD 47-2 ,Fiji Triple Junction ,-16.85,173.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702898,,18.0333,15.471,37.7793
NLTD 47-3 ,Fiji Triple Junction ,-16.85,173.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702902,0.513085,18.1458,15.4935,37.9333
NLTD 48-1 ,Fiji Triple Junction ,-16.88,173.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703671,0.512883,18.6409,15.5747,38.7198
NLTD 2-4 ,Yasawa-Yadua Volcanic Zone ,-16.39,177.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703662,0.513125,18.5649,15.5405,38.4264
NLTD 3-6 ,Yasawa-Yadua Volcanic Zone ,-16.45,177.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704024,0.512992,18.6705,15.5597,38.5138
NLTD 4-2 ,Yasawa-Yadua Volcanic Zone ,-16.43,177.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703175,0.513172,18.4516,15.5161,38.2973
