"","Sample","lat","long","Type","Location","SiO2","TiO2","Al2O3","Fe2O3","MnO","MgO","CaO","Na2O","K2O","P2O5","Li","Sc","V","Cr","Co","Ni","Cu","Zn","As","Rb","Sr","Y","Zr","Nb","Cd","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","Pb","Th","U","Nd143_Nd144","Nd143_Nd144_SD","Sr87_Sr86","Sr87_Sr86_SD","Pb206_Pb204","Pb206_Pb204_SD","Pb207_Pb204","Pb207_Pb204_SD","Pb208_Pb204","Pb208_Pb204_SD"
"11","T-12-06",-9.864424,167.180793,"Artefact","Taumako",45.8,3.92,15.2,15.9,0.19,5.02,8.06,3.5,1.32,0.642,8.41,17.5,279,6.16,44.7,2170,37.5,215,1.31,33.6,664,45,393,49.4,0.533,0.158,275,36.1,84.9,11.6,51.3,12.1,4.09,12.1,1.84,9.84,1.71,4.16,0.52,3.24,0.422,9.84,3.31,3.88,3.73,1,0.512855,4e-06,0.705288,2e-05,18.89,0.001,15.587,0.001,38.871,0.002
"12","T-12-07",-9.894769,167.189692,"Artefact","Taumako",45,4.22,15.6,14.8,0.173,5.29,8.68,3.4,1.28,0.589,6.98,17.6,276,8.77,46.3,193,25.6,166,1.49,30.7,588,42.3,365,42.1,0.681,0.144,252,31.5,76.1,10.5,47.4,11.3,3.66,11.2,1.68,9.03,1.59,3.93,0.48,3.12,0.401,9,2.86,4.14,3.16,0.941,0.512871,4e-06,0.705108,1.1e-05,18.911,0.001,15.583,0.001,38.861,0.002
"13","T-12-08",-9.894769,167.189692,"Artefact","Taumako",47.4,3.47,15.9,14,0.178,4.94,8.09,3.68,1.49,0.737,9.48,17.1,228,6.2,35,26.5,10.4,184,1.02,41.1,730,45,381,48.6,0.486,0.223,325,39.8,93.8,12.5,53.7,12.7,4.16,12.5,1.8,9.55,1.69,4.12,0.525,2.97,0.407,9.16,3.2,6.11,4.26,1.17,0.512855,3e-06,0.705207,1.6e-05,18.909,0.014,15.601,0.011,38.894,0.029
"14","T-12-09",-9.894769,167.189692,"Artefact","Taumako",45.6,4.56,15.9,14.4,0.165,5.65,8.29,3.3,1.22,0.571,6.66,19.9,296,9.34,47.6,49.6,19.6,157,0.869,31.3,593,40.7,347,40.8,0.485,0.226,257,30.9,73.8,10,43.4,10.7,3.45,10.6,1.58,8.52,1.54,3.79,0.5,2.79,0.393,8.37,2.79,3.5,3.16,0.908,0.512872,5e-06,0.705117,1.5e-05,18.925,0.001,15.585,0.001,38.897,0.002
"15","T-12-10",-9.894769,167.189692,"Artefact","Taumako",47.2,4.2,15.9,14.5,0.161,4.6,7.95,3.58,1.35,0.628,8.01,17.1,242,8.11,41.5,617,55.2,192,1.15,36.4,740,46.4,401,47,0.688,0.399,287,37.8,89.5,12.5,54.7,13.3,4.7,13,1.94,10.2,1.77,4.29,0.533,3.14,0.413,9.79,3.22,4.61,3.68,1.03,0.512861,4e-06,0.70517,1.3e-05,18.812,0.001,15.581,0.001,38.75,0.003
"16","K-12-24",1.078411,154.807214,"Artefact","Kapingamarangi",38.5,5.04,12.3,17.7,0.259,7.34,11,3.11,1.41,1.57,9.15,17.4,234,25.5,37.6,56.8,61.9,152,1.78,24.5,905,40.1,478,92.9,0.594,0.309,489,69.2,150,18.7,75.3,15.3,4.7,13.8,1.86,9.17,1.53,3.56,0.436,2.52,0.332,11,5.8,6.37,5.47,1.85,0.51299,3e-06,0.703464,1.2e-05,18.405,0.001,15.527,0.001,38.31,0.002
"17","K-12-25",1.078411,154.807214,"Artefact","Kapingamarangi",44.6,1.8,14.9,14,0.179,12.2,10.6,2.39,0.393,0.237,4.47,28.2,277,451,68.3,323,68.5,98.8,0.472,5.55,382,19.1,93.7,12.9,0.245,0.04,118,9.58,21.4,2.89,13.1,3.42,1.23,3.79,0.643,3.72,0.716,1.93,0.256,1.72,0.232,2.44,0.828,1.37,1.11,0.212,0.512909,4e-06,0.704127,8.6e-05,18.624,0.001,15.583,0.001,38.661,0.003
"18","K-12-26",1.078411,154.807214,"Artefact","Kapingamarangi",44.4,3.81,14.9,13.5,0.16,5.18,12,3.91,0.851,0.807,1.92,22.2,335,56.9,24.2,46.6,6.77,59.2,2.13,2.43,663,40.2,255,44.4,0.271,0.013,31.5,45.9,111,14.7,62.8,13.4,3.88,12.5,1.8,9.16,1.58,3.53,0.436,2.53,0.305,7.03,2.84,3.43,2.04,1,0.512993,3e-06,0.703601,1.4e-05,18.727,0,15.533,0.001,38.443,0.002
"19","K-12-28",1.078411,154.807214,"Artefact","Kapingamarangi",53.6,0.467,15.4,11.3,0.171,6.82,11.7,1.43,0.053,0.087,2.96,23.7,335,200,34.8,125,57.1,60.8,1.86,0.439,160,14,22.2,0.664,0.079,0.051,26.4,5.11,11.3,1.57,7.1,1.94,0.936,2.24,0.369,2.29,0.484,1.34,0.192,1.24,0.189,0.717,0.034,1.07,0.523,0.13,0.513026,3e-06,0.703886,1.3e-05,18.238,0.002,15.545,0.002,38.255,0.004
"20","K-12-29",1.078718,154.808383,"Artefact","Kapingamarangi",49.7,0.797,20.7,9.73,0.159,2.84,10.3,3.2,1.64,0.407,5.24,NA,339,62.5,29.9,14.8,47.1,144.3,3.7,9.7,537.6305122,20.6,50.5,1.33,0.1,0.11,107,7.49,17.8,2.71,12.8,3.27,1.15,3.4,0.554,3.62,0.757,2.14,0.33,2.1,0.332,1.61,0.08,2.11,1.2,0.64,0.512916,2e-06,0.704397,2e-06,18.547,0.003,15.57,0.003,38.426,0.002
"21","E-11-08dup",NA,NA,"Artefact","Emae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,17.1,230,NA,50.1,NA,20.7,284,1.19,36.4,703,45.3,402,49.4,0.558,0.274,320,36.6,86.6,11.7,50.8,12,4.24,12.3,1.81,9.47,1.73,4.13,0.557,3.16,0.421,9.79,3.24,9.11,3.9,1.1,0.512855,3e-06,NA,NA,NA,NA,NA,NA,NA,NA
"22","T-12-06dup",NA,NA,"Artefact","Taumako",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.27,17.6,284,NA,45.9,NA,38.6,221,1.52,33.9,670,45.2,394,49.4,0.523,0.159,275,36.1,85.3,11.7,52,12.3,4.03,12.2,1.84,9.84,1.72,4.11,0.518,3.23,0.426,9.82,3.33,3.91,3.72,1.01,0.512854,4e-06,NA,NA,NA,NA,NA,NA,NA,NA
"23","E-11-18dup",NA,NA,"Source","Emae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.704179,1.2e-05,18.514,0.001,15.555,0.001,38.497,0.002
